"is_interactive","number_of_scripts","number_of_completed_tutorials","author_name","join_date","features","activedays","receivedpositivereviews","subscribers","score"
"1","27","1","michalcomputerstudio","2013-01-12 15:22:23","281","60","5","1","58"
"1","27","3","Yaniv Nahum","2013-10-07 14:19:06","94","6","0","0","24"
"1","27","1","GGoeschl","2012-07-13 10:58:07","133","63","51","5","56"
"1","26","2","thegamer","2013-02-22 18:01:08","161","58","0","0","39"
"1","26","2","Abhishek10","2013-11-08 16:13:59","84","15","2","0","29"
"1","26","2","parmjit gill","2013-09-11 12:31:59","111","18","3","2","35"
"1","26","1","Samuel Woldemariam","2013-09-09 17:39:53","84","48","0","0","30"
"1","26","1","Cindy Phanz","2012-10-23 00:04:05","205","104","1","0","49"
"1","25","1","alex flores","2013-09-09 17:37:11","81","37","2","0","31"
"1","25","1","Julie Nguyen","2013-09-10 17:19:21","101","42","3","0","35"
"1","24","2","Andrew Wang the bomb","2013-09-04 18:38:00","72","19","1","0","27"
"1","24","3","CptTeemoOnDuty","2013-09-04 18:33:48","85","23","0","0","28"
"1","24","2","Oboboss11","2013-09-04 12:30:29","102","21","4","2","36"
"1","24","4","Josh Wilson","2013-10-15 15:51:45","79","5","1","0","22"
"1","24","4","Kaitlyn Agnew","2013-11-19 15:05:55","56","1","0","0","15"
"1","24","1","Harishguna Satgunarajah","2013-04-25 01:30:25","133","54","1","0","37"
"1","24","3","Violator Kush Wright","2013-10-04 18:23:59","96","15","0","0","28"
"1","24","1","RBXSystems","2013-09-08 00:48:19","176","60","3","0","44"
"1","24","3","Kevin Boxhoorn","2013-10-17 12:34:50","113","15","0","0","30"
"1","24","3","B111PPI<3","2013-09-05 01:58:23","37","48","0","0","25"
"1","23","1","hassaun hastings","2013-01-22 17:13:59","134","79","0","0","38"
"1","22","2","Aaron Lakhanpal.","2013-09-11 12:16:30","88","45","11","4","44"
"1","21","3","Tobuscus 2","2013-11-14 17:09:50","76","9","0","0","25"
"1","21","1","Helen Nguyen","2013-09-09 17:35:45","95","38","0","0","30"
"1","21","3","ogedei0501","2013-09-04 22:06:09","69","19","2","0","27"
"1","21","3","Michael Binshtock","2013-11-03 08:54:35","92","2","0","0","20"
"1","21","1","User0847","2011-09-23 20:24:01","386","502","46","3","122"
"1","21","1","together three","2012-03-16 02:11:34","280","135","18","0","69"
"1","20","4","Lewis Cromack","2013-11-14 16:44:15","81","6","0","0","23"
"1","20","2","Amrun Thandi","2013-09-04 12:27:54","64","16","3","9","37"
"1","20","4","Knut Erlend Sakkeus","2013-11-18 20:32:42","62","3","0","0","18"
"1","20","2","Harry Holmes","2013-10-15 15:51:37","88","5","1","0","23"
"1","20","1","Brent Farris","2012-02-26 10:13:51","252","42","7","0","54"
"1","19","1","Bikramjit Singh","2013-06-22 01:23:54","39","9","0","0","21"
"1","19","1","yutakatm","2013-01-22 13:47:00","60","21","0","0","26"
"1","19","1","jonholt jdh","2011-08-03 14:53:32","293","606","105","4","130"
"1","19","1","Grant Bronsdon","2011-07-23 01:49:51","182","32","32","4","55"
"1","18","2","Sergio Henrique","2013-10-11 18:22:33","58","19","0","0","24"
"1","18","3","Jordan Prado","2013-10-04 18:19:40","64","8","0","0","23"
"1","18","3","User141139","2013-10-15 15:51:36","81","5","1","0","23"
"1","18","3","Meg Byrne","2013-11-15 12:16:18","45","1","0","0","14"
"1","18","3","Mustafa Demir","2013-11-09 16:16:02","63","1","1","0","17"
"1","18","2","Jing Rechard","2013-09-21 15:52:06","82","13","0","0","27"
"1","18","2","Imani Jones","2013-09-25 17:56:25","67","18","0","0","25"
"1","18","3","Eyal Carmel","2013-06-25 11:31:34","72","3","0","0","19"
"1","18","2","Hannah Townsend","2013-09-11 09:56:44","56","9","0","0","23"
"1","18","2","Mohsin Junaid","2013-01-30 23:20:00","155","29","0","0","35"
"1","17","1","coolbeaf","2011-10-16 00:36:58","81","82","3","0","37"
"1","17","1","User55440","2012-08-07 13:43:14","136","74","3","0","41"
"1","17","1","User00863","2013-05-14 21:21:18","39","17","0","0","22"
"1","17","1","User80635","2012-12-12 07:47:03","106","8","1","0","28"
"1","16","2","ONGpandacrazy101","2013-10-21 19:16:03","72","22","0","1","28"
"1","16","2","Just so Awsome","2013-10-21 19:12:38","74","21","3","1","31"
